Metrica ,Conjunto ,Mes,modelo_base ,dt_1_profundidad ,dt_5_profundidad 
MAE,Entrenamiento ,Julio,NaN,0.107827,0.099591
MAE,Entrenamiento ,Agosto,NaN,0.075143,0.069818
MAE,Entrenamiento ,Septiembre,NaN,0.054836,0.051484
MAE,Entrenamiento ,Octubre,NaN,0.061179,0.058564
MAE,Entrenamiento ,Noviembre,NaN,0.079885,0.080747
MAE,Entrenamiento ,Diciembre,NaN,0.072606,0.083584
MAE,Entrenamiento ,Enero,NaN,0.065324,0.07377
MAE,Entrenamiento ,Febrero,NaN,0.058543,0.065992
MAE,Prueba,Agosto,0.121021,0.056611,0.079474
MAE,Prueba,Septiembre,0.080941,0.014224,0.018815
MAE,Prueba,Octubre,0.090195,0.080207,0.079947
MAE,Prueba,Noviembre,0.164722,0.154711,0.153528
MAE,Prueba,Diciembre,0.12979,0.060161,0.154119
MAE,Prueba,Enero,0.103081,0.021632,0.026602
MAE,Prueba,Febrero,0.035583,0.011076,0.011526
MAE,Prueba,Marzo,0.015952,0.001302,0.001538
